file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/TrustStoreCallback.java,java/jakarta/security/auth/message/callback/TrustStoreCallback.java,0,2,1,0,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/config/AuthConfigFactory.java,java/jakarta/security/auth/message/config/AuthConfigFactory.java,5,20,1,14,76,0.018181818,0.018181818,13,4,11,2,0,0,11,8,0,1,9,9,7,2,0,0,8,0,8,77,6,0,4,1,0,9,0,15,2,14,5,0,1,2,59,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/MessagePolicy.java,java/jakarta/security/auth/message/MessagePolicy.java,1,5,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,51,3,0,2,0,0,1,1,2,0,2,1,0,3,0,13,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/AsyncEvent.java,java/jakarta/servlet/AsyncEvent.java,3,8,1,0,0,0.78571427,1.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,4,0,0,42,4,0,0,0,0,0,0,16,0,4,0,0,0,0,25,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/GenericFilter.java,java/jakarta/servlet/GenericFilter.java,4,7,1,6,19,0.04761905,0.04761905,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,0,25,5,0,0,0,0,0,1,2,0,2,0,0,0,0,63,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/GenericServlet.java,java/jakarta/servlet/GenericServlet.java,6,13,1,10,72,0.03846154,0.03846154,13,0,13,0,0,0,13,1,0,0,2,1,0,2,0,0,1,0,0,39,6,0,0,0,0,3,1,2,2,2,0,0,0,0,188,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/Cookie.java,java/jakarta/servlet/http/Cookie.java,3,25,1,11,149,0.057894737,0.06842105,19,0,19,0,0,0,20,0,0,0,11,2,0,11,0,0,3,0,13,112,10,0,3,1,0,6,3,25,0,16,1,0,0,3,308,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/Cookie.java,java/jakarta/servlet/http/Cookie.java,1,4,3,5,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,0,0,1,1,1,0,1,1,0,0,0,14,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/Cookie.java,java/jakarta/servlet/http/Cookie.java,1,9,1,9,1,0.0,0.0,3,0,0,1,1,1,2,0,0,0,3,2,0,1,2,0,3,0,2,32,2,2,2,0,0,3,6,9,0,9,2,0,0,0,38,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/Cookie.java,java/jakarta/servlet/http/Cookie.java,1,1,2,0,0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpFilter.java,java/jakarta/servlet/http/HttpFilter.java,8,4,2,2,1,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,2,2,1,1,2,1,1,0,0,0,109,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpServlet.java,java/jakarta/servlet/http/HttpServlet.java,6,13,3,7,7,0.2,0.2,7,0,4,1,0,2,6,0,0,0,5,2,0,5,0,0,3,0,5,44,2,0,1,0,0,3,7,13,1,7,1,0,0,0,53,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpServlet.java,java/jakarta/servlet/http/HttpServlet.java,10,50,2,50,71,0.29090908,0.38181818,15,1,2,4,9,0,11,0,0,0,14,12,0,14,0,0,13,0,7,259,5,2,6,2,3,34,15,57,4,45,5,0,1,0,406,1025,0,10,0,0,0.0
